source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BusinessLine'}",PTI,Mcap of five of top-10 most valued firms jumps ₹1.54 lakh crore; TCS lead gainers,"Reliance Industries remain the most valued firm followed by HDFC Bank, Bharti Airtel, ICICI Bank, State Bank of India, TCS, Bajaj Finance, LIC, Larsen & Toubro and Hindustan Unilever",https://www.thehindubusinessline.com/markets/mcap-of-five-of-top-10-most-valued-firms-jumps-154-lakh-crore-tcs-lead-gainers/article71240740.ece,https://bl-i.thgim.com/public/todays-paper/tp-others/uevhm3/article71239403.ece/alternates/LANDSCAPE_1200/PO19_ShortTake_GRJG943LF.4.jpg.jpg,2026-07-19T05:38:22Z,"The combined market valuation of five of the top-10 most valued firms jumped 1.54 lakh crore last week, with IT major TCS emerging as the biggest winner, in line with a positive trend in equities.
L… [+2176 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,RIL's Q1 operational revenue hits milestone with 25% YoY jump,"Reliance Industries saw a twenty-five percent profit drop in the June quarter.  Revenue from operations increased twenty-five percent, crossing three lakh crore rupees.  Reliance Retail's net profit declined fourteen percent while revenue grew eight percent. …",https://economictimes.indiatimes.com/markets/stocks/earnings/rils-q1-operational-revenue-hits-milestone-with-25-yoy-jump/articleshow/132473422.cms,"https://img.etimg.com/thumb/msid-132473416,width-1200,height-630,imgsize-48628,overlay-etmarkets/articleshow.jpg",2026-07-18T03:50:33Z,"Reliance Industries (RIL) posted a 25% decline in consolidated net profit for the June quarter, as earnings in the year-ago period had been boosted by a one-time exceptional gain from the sale of its… [+3629 chars]"
"{'id': None, 'name': 'BusinessLine'}",Amit Vijay  Mohile,Reliance Industries Q1 FY27: Oil-to-Chemicals EBITDA rises 17%; solar and battery manufacturing plans advance,Reliance Industries' O2C EBITDA rose 17% on crude diversification and stronger fuel margins as it advanced 20 GW solar and 40 GWh battery plans.,https://www.thehindubusinessline.com/companies/reliance-industries-q1-fy27-oil-to-chemicals-ebitda-rises-17-solar-and-battery-manufacturing-plans-advance/article71235762.ece,https://bl-i.thgim.com/public/incoming/4v044o/article71235774.ece/alternates/LANDSCAPE_1200/Anant%20Ambani.jpg,2026-07-18T01:48:46Z,"Reliance Industries on Friday said its Oil-to-Chemicals (O2C) business navigated the quarters energy-market disruption through crude diversification, product placement in deficit markets and favourab… [+3762 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TNN,"RIL Q1 profit plunges 25% to 23,000 crore, revenue up 25%","Reliance Industries saw a 25% profit decline, yet revenue grew significantly. Strong performances from oil-to-chemicals and Jio digital services boosted overall results. Jio's earnings climbed, supported by subscriber growth and increased average revenue per …",https://timesofindia.indiatimes.com/business/india-business/ril-q1-profit-plunges-25-to-23000-crore-revenue-up-25/articleshow/132469727.cms,"https://static.toiimg.com/thumb/msid-132469746,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-07-17T21:32:21Z,"<ul><li>News</li>
<li>RIL Q1 profit plunges 25% to 23,000 crore, revenue up 25%</li></ul>
Follow Us On Social Media
Copyright © 2026 Bennett, Coleman &amp; Co. Ltd. All rights reserved. For reprin… [+34 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,RIL charts multi-year plan to offset decline in natural gas output,Reliance Industries plans a multi-year campaign to boost natural gas output.  This effort aims to offset declining production from existing fields.  Elevated gas prices are expected due to ongoing West Asia conflict.  The company anticipates better price real…,https://economictimes.indiatimes.com/industry/energy/oil-gas/ril-charts-multi-year-plan-to-offset-decline-in-natural-gas-output/articleshow/132469128.cms,"https://img.etimg.com/thumb/msid-132469162,width-1200,height-630,imgsize-55906,overlay-economictimes/articleshow.jpg",2026-07-17T19:22:34Z,"Mumbai: Reliance Industries is preparing a multi-year campaign to increase natural gas production as it expects the gas prices to remain elevated due to the West Asia conflict, company executives sai… [+1655 chars]"
"{'id': None, 'name': 'Livemint'}",Nehal Chaliawala,Reliance tops estimates as petrochemicals business stands firm in a turbulent first quarter,"Reliance Industries' earnings beat came despite expectations that geopolitical tensions and volatile energy markets would weigh on Reliance’s flagship oil-to-chemicals (O2C) business, which contributes more than half of the company’s consolidated revenue.",https://www.livemint.com/companies/reliance-tops-estimates-as-petrochemicals-business-stands-firm-in-a-turbulent-first-quarter-11784300680729.html,https://www.livemint.com/lm-img/img/2026/07/17/1600x900/logo/2-0-1321406577-RIL-0_1679976786472_1784307412059_1c0d6f7e-22d6-4b5c-88ba-a6d99deae3f5.jpg,2026-07-17T17:00:49Z,Mumbai: Reliance Industries Ltd delivered a better-than-expected start to FY27 as a resilient oil refining and petrochemicals business weathered severe disruption in global energy markets triggered b… [+4731 chars]
"{'id': None, 'name': 'BusinessLine'}",Vallari Sanzgiri,"JioStar maintains TV leadership, reports 15 per cent rise in Q1 profit","Reliance Industries’ media arm JioStar reported a 14.5 per cent increase in net profit at ₹665 crore, while revenue grew 14 per cent to ₹12,799 crore, led by strong growth in subscription revenue and digital entertainment advertising revenue. The company repo…",https://www.thehindubusinessline.com/info-tech/jiostar-maintains-tv-leadership-reports-15-per-cent-rise-in-q1-profit/article71234840.ece,https://bl-i.thgim.com/public/incoming/4xr1ab/article71235314.ece/alternates/LANDSCAPE_1200/jiostar%20logo.jpg,2026-07-17T15:40:18Z,"Reliance Industries media arm JioStar reported a 14.5 per cent increase in net profit at 665 crore, while revenue grew 14 per cent to 12,799 crore, led by strong growth in subscription revenue and di… [+1389 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,RIL Q1 Takeaways: What Mukesh Ambani said on Jio IPO and how Reliance Consumer doubled revenue,"Reliance Industries highlighted strong consumer business momentum in Q1 FY27, with Jio Platforms advancing towards its IPO and Reliance Consumer more than doubling revenue. Campa and Independence drove growth, while Jio posted higher ARPU, subscriber addition…",https://economictimes.indiatimes.com/markets/stocks/earnings/ril-q1-takeaways-what-mukesh-ambani-said-on-jio-ipo-and-how-reliance-consumer-doubled-revenue/articleshow/132464398.cms,"https://img.etimg.com/thumb/msid-132464398,width-1200,height-630,imgsize-181532,overlay-etmarkets/articleshow.jpg",2026-07-17T15:16:36Z,"Reliance Industries' June-quarter numbers gave investors two clear takeaways from its consumer businesses. Jio Platforms has moved closer to its public listing, while Reliance Consumer Products more … [+4442 chars]"
"{'id': 'financial-post', 'name': 'Financial Post'}",Bloomberg News,Ambani’s Reliance Tops Profit Estimate Despite Iran War Woes,"Reliance Industries Ltd.’s quarterly earnings beat analyst estimates, driven by strong refining margins and steady growth across its consumer technology units, unfazed by the Iran war-induced disruptions.",https://financialpost.com/pmn/business-pmn/ambanis-reliance-tops-profit-estimate-despite-iran-war-woes,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/07/776462893.jpg,2026-07-17T14:42:43Z,"(Bloomberg) Reliance Industries Ltd.s quarterly earnings beat analyst estimates, driven by strong refining margins and steady growth across its consumer technology units, unfazed by the Iran war-indu… [+5312 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Online,"Less Gulf, more Russia: RIL diversifies crude sourcing amid market turmoil due to Iran war",Reliance Industries increased crude oil sourcing from Russia and Latin America. This strategic move reduced dependence on Arabian Gulf crudes during volatile markets. The company also completed planned turnarounds of key refining units. Global crude markets f…,https://economictimes.indiatimes.com/industry/energy/oil-gas/less-gulf-more-russia-ril-diversifies-crude-sourcing-amid-market-turmoil-due-to-iran-war/articleshow/132463849.cms,"https://img.etimg.com/thumb/msid-132463885,width-1200,height-630,imgsize-49300,overlay-economictimes/articleshow.jpg",2026-07-17T14:32:58Z,"Mukesh Ambani-owned Reliance Industries Ltd (RIL) increased crude oil sourcing from Russia and Latin America during the June quarter to reduce its dependence on Arabian Gulf (AG) crudes, as the compa… [+2613 chars]"
